Team_Name,Team_Index,Entity_Code,Entity_index,theta,alpha_s,beta,S_prime
Funky Bison 2021-08-27,27,w,2,0.02,0.11,0,35
Funky Bison 2021-08-27,27,D,3,0.25,0.09,0,12
Funky Bison 2021-08-27,27,F,4,0.15,0.13,0,5
Five Sams Saison 2021-08-27,28,R,1,0.07,0.07,0.13,14
Five Sams Saison 2021-08-27,28,w,2,0,0.46,0.17,22
Five Sams Saison 2021-08-27,28,D,3,0,0.46,0.33,11
Five Sams Saison 2021-08-27,28,F,4,0.25,0.23,0,17
F&E Team 2021-08-27,29,R,1,0.14,0.63,0.99,19
F&E Team 2021-08-27,29,w,2,0.31,0.07,0.47,27
F&E Team 2021-08-27,29,D,3,0.07,1,0.03,18
F&E Team 2021-08-27,29,F,4,0.41,0.53,0.47,7
Delta Blueberry 2021-08-27,30,R,1,1,1,1,3121
Delta Blueberry 2021-08-27,30,w,2,1,1,0,752
Delta Blueberry 2021-08-27,30,D,3,1,1,0,0.00E+00
Delta Blueberry 2021-08-27,30,F,4,0,0,0.00E+00,18
Brew's Clues 2021-08-27,31,R,1,0.12,0.13,0,16
Brew's Clues 2021-08-27,31,w,2,1,0.03,0,34
Brew's Clues 2021-08-27,31,D,3,1,0.45,0.48,29
Brew's Clues 2021-08-27,31,F,4,0.6,0.46,0.9,22
Bira 2021-08-27,32,R,1,0.96,0.19,0,17
Bira 2021-08-27,32,w,2,0.9,0.06,0,44
Bira 2021-08-27,32,D,3,0.46,0.13,0,31
Bira 2021-08-27,32,F,4,0.74,1,0,17
Best Beer Co 2021-08-27,33,R,1,0.05,0.19,0.02,10
Best Beer Co 2021-08-27,33,w,2,0.29,0.02,0.03,28
Best Beer Co 2021-08-27,33,D,3,0.57,1,1,7
Best Beer Co 2021-08-27,33,F,4,0.75,0.78,0.44,9
BAY Beer 2021-08-27,34,R,1,0,0.19,1,16
BAY Beer 2021-08-27,34,w,2,0.59,0.96,1,7
BAY Beer 2021-08-27,34,D,3,0.25,1,0,3
BAY Beer 2021-08-27,34,F,4,0.39,0.68,0,5
AAAAAAAAZ 2021-08-27,35,R,1,0.48,0.07,0.61,13
AAAAAAAAZ 2021-08-27,35,w,2,0.03,0.09,0.52,30
AAAAAAAAZ 2021-08-27,35,D,3,0.39,0.65,0.34,19
AAAAAAAAZ 2021-08-27,35,F,4,0.48,0.7,0.07,20
8 P'eas in a Pod 2021-08-27,36,R,1,0.47,0,0.48,13
8 P'eas in a Pod 2021-08-27,36,w,2,0,0.43,0.5,30
8 P'eas in a Pod 2021-08-27,36,D,3,0.13,0.16,0.29,18
8 P'eas in a Pod 2021-08-27,36,F,4,0.08,0.09,0.36,20
Talli 2022-08-13,37,R,1,0,0.7,0,13
Talli 2022-08-13,37,w,2,1,1,1,6
Talli 2022-08-13,37,D,3,1,1,0,14
Talli 2022-08-13,37,F,4,0.46,0.78,0,2
Stunning beer 2022-08-13,38,R,1,0.28,1,0.62,15
Stunning beer 2022-08-13,38,w,2,0.29,1,0,2
Stunning beer 2022-08-13,38,D,3,0.37,1,0,1
Stunning beer 2022-08-13,38,F,4,0.15,0.25,0,2
Sloan Artoir 2022-08-13,39,R,1,0,0.13,0.9,6
Sloan Artoir 2022-08-13,39,w,2,0,1,1,15
Sloan Artoir 2022-08-13,39,D,3,0.12,0.22,0,10
Sloan Artoir 2022-08-13,39,F,4,0.18,0.23,0,17
Sexy Panther Larger 2022-08-13,40,R,1,0.88,0.07,0,41
Sexy Panther Larger 2022-08-13,40,w,2,0.28,1,1,20
Sexy Panther Larger 2022-08-13,40,D,3,0.23,1,0,0
Sexy Panther Larger 2022-08-13,40,F,4,0.03,0.47,0.2,5
Rat Beer 2022-08-13,41,R,1,0.72,0.5,1,16
Rat Beer 2022-08-13,41,w,2,1,0.08,0,28
Rat Beer 2022-08-13,41,D,3,0.21,1,0,16
Rat Beer 2022-08-13,41,F,4,0.52,0.73,0.56,19
Kirin Ichiban 2022-08-13,42,R,1,1,0.08,0,23
Kirin Ichiban 2022-08-13,42,w,2,0.58,1,1,23
Kirin Ichiban 2022-08-13,42,D,3,0.52,1,0.99,5
Kirin Ichiban 2022-08-13,42,F,4,0.26,0.59,0,18
Graz Adams 2022-08-13,43,R,1,0,0.51,1,20
Graz Adams 2022-08-13,43,w,2,1,1,0,8
Graz Adams 2022-08-13,43,D,3,0.45,0,0.84,8
Graz Adams 2022-08-13,43,F,4,0.42,1,0,0
chug'n'chill 2022-08-13,44,R,1,1,0.81,0.24,43
chug'n'chill 2022-08-13,44,w,2,0.21,1,1,0
chug'n'chill 2022-08-13,44,D,3,0.37,1,0,17
chug'n'chill 2022-08-13,44,F,4,0.18,0.31,0,6
Burp Beer 2022-08-13,45,R,1,1,1,0.03,12
Burp Beer 2022-08-13,45,w,2,1,0.82,1,27
Burp Beer 2022-08-13,45,D,3,0.89,1,0,12
Burp Beer 2022-08-13,45,F,4,0.27,1,0.11,11
Beer O Rama 2022-08-13,46,R,1,0.98,0.81,0.52,9
Beer O Rama 2022-08-13,46,w,2,0,1,1,15
Beer O Rama 2022-08-13,46,D,3,0.03,0.16,0.57,8
Beer O Rama 2022-08-13,46,F,4,1,0.26,0,12
Beantown Brewers 2022-08-13,47,R,1,0.23,0.29,0.08,12
Beantown Brewers 2022-08-13,47,w,2,0.09,0.96,0.85,25
Beantown Brewers 2022-08-13,47,D,3,0.84,0.49,0.32,14
Beantown Brewers 2022-08-13,47,F,4,0.27,0.65,0,15
A^3 2022-08-13,48,R,1,0.93,0.48,0.98,13
A^3 2022-08-13,48,w,2,0.67,0.95,0.33,22
A^3 2022-08-13,48,D,3,0.36,0.44,0.06,12
A^3 2022-08-13,48,F,4,0.36,1,0,18
